customer_number,Archetype
1722,Platinum_Essential
1730,Bronze_Essential
1731,Gold_Silver_Essential
1759,Platinum_Essential
1760,Gold_Silver_Essential
1762,Gold_Silver_Essential
1764,Bronze_Essential
1770,Bronze_Essential
1774,Gold_Silver_Essential
1780,Platinum_Essential
1793,Platinum_Essential
1799,Gold_Silver_Essential
1800,Gold_Silver_Essential
1805,Bronze_Traveller
1820,Gold_Silver_Essential
1831,Gold_Silver_Traveller
1832,Gold_Silver_Essential
1849,Gold_Silver_Essential
1864,Gold_Silver_Essential
1865,Bronze_Traveller
1868,Bronze_Traveller
1869,Gold_Silver_Essential
1874,Platinum_Essential
1886,Platinum_Essential
1891,Platinum_Free
1893,Bronze_Essential
1894,Gold_Silver_Essential
1901,Platinum_Essential
1903,Gold_Silver_Essential
1904,Gold_Silver_Essential
1905,Bronze_Essential
1910,Bronze_Traveller
1911,Gold_Silver_Essential
1918,Bronze_Essential
1922,Platinum_Essential
1923,Platinum_Essential
1925,Gold_Silver_Essential
1926,Platinum_Essential
1932,Bronze_Essential
1935,Gold_Silver_Traveller
1937,Gold_Silver_Essential
1938,Platinum_Essential
1939,Platinum_Essential
1943,Gold_Silver_Essential
1944,Gold_Silver_Essential
1969,Gold_Silver_Essential
1978,Gold_Silver_Essential
1979,Gold_Silver_Essential
1988,Gold_Silver_Essential
1989,Gold_Silver_Essential
1999,Gold_Silver_Essential
2011,Gold_Silver_Essential
2014,Gold_Silver_Essential
2019,Gold_Silver_Essential
2024,Platinum_Essential
2029,Bronze_Essential
2049,Gold_Silver_Essential
2056,Bronze_Traveller
2063,Gold_Silver_Essential
2066,Platinum_Essential
2067,Platinum_Essential
2083,Gold_Silver_Essential
2110,Bronze_Traveller
2111,Platinum_Essential
2117,Platinum_Essential
2125,Gold_Silver_Essential
2131,Gold_Silver_Essential
2132,Platinum_Free
2138,Gold_Silver_Traveller
2139,Gold_Silver_Traveller
2140,Gold_Silver_Essential
2141,Platinum_Essential
2146,Gold_Silver_Essential
2154,Bronze_Essential
2162,Bronze_Essential
2174,Gold_Silver_Essential
2177,Platinum_Free
2182,Bronze_Essential
2183,Bronze_Traveller
2192,Gold_Silver_Essential
2198,Gold_Silver_Essential
2207,Platinum_Essential
2209,Bronze_Essential
2214,Gold_Silver_Essential
2216,Gold_Silver_Essential
2225,Gold_Silver_Essential
2226,Gold_Silver_Essential
2232,Platinum_Free
2233,Platinum_Essential
2239,Gold_Silver_Essential
2242,Bronze_Essential
2243,Gold_Silver_Essential
2256,Gold_Silver_Essential
2260,Platinum_Essential
2263,Platinum_Essential
2275,Gold_Silver_Essential
2277,Gold_Silver_Essential
2279,Bronze_Essential
2282,Bronze_Essential
2290,Gold_Silver_Essential
2291,Gold_Silver_Essential
2301,Gold_Silver_Traveller
2312,Gold_Silver_Essential
2313,Bronze_Traveller
2322,Platinum_Essential
2326,Platinum_Free
2327,Bronze_Traveller
2352,Bronze_Traveller
2359,Gold_Silver_Traveller
2366,Platinum_Essential
2370,Gold_Silver_Essential
2376,Platinum_Essential
2377,Platinum_Free
2379,Bronze_Traveller
2388,Gold_Silver_Essential
2392,Bronze_Traveller
2414,Gold_Silver_Essential
2417,Gold_Silver_Essential
2427,Platinum_Essential
2431,Gold_Silver_Essential
2438,Bronze_Essential
2442,Gold_Silver_Essential
2445,Gold_Silver_Essential
2450,Platinum_Essential
2451,Gold_Silver_Essential
2452,Gold_Silver_Essential
2466,Bronze_Essential
2469,Platinum_Essential
2470,Gold_Silver_Essential
2473,Gold_Silver_Essential
2476,Platinum_Essential
2498,Gold_Silver_Essential
2499,Bronze_Essential
2500,Platinum_Essential
2501,Gold_Silver_Traveller
2503,Gold_Silver_Essential
2511,Gold_Silver_Essential
2514,Gold_Silver_Essential
2519,Bronze_Essential
2522,Bronze_Traveller
2532,Bronze_Essential
2539,Bronze_Essential
2559,Gold_Silver_Essential
2566,Bronze_Traveller
2568,Gold_Silver_Essential
2573,Gold_Silver_Essential
2575,Platinum_Free
2581,Gold_Silver_Essential
2588,Platinum_Essential
2590,Gold_Silver_Essential
2600,Gold_Silver_Essential
2603,Platinum_Essential
2604,Gold_Silver_Essential
2606,Gold_Silver_Essential
2614,Platinum_Essential
2622,Bronze_Essential
2623,Gold_Silver_Essential
2628,Platinum_Essential
2636,Gold_Silver_Essential
2638,Bronze_Traveller
2642,Platinum_Essential
2643,Gold_Silver_Essential
2645,Bronze_Essential
2649,Platinum_Essential
2653,Gold_Silver_Essential
2657,Gold_Silver_Essential
2660,Platinum_Essential
2662,Gold_Silver_Essential
2664,Bronze_Essential
2667,Gold_Silver_Essential
2669,Bronze_Traveller
2671,Gold_Silver_Essential
2678,Platinum_Essential
2684,Platinum_Essential
2692,Platinum_Free
2695,Bronze_Essential
2705,Gold_Silver_Essential
2716,Gold_Silver_Essential
2737,Gold_Silver_Essential
2744,Gold_Silver_Essential
2754,Platinum_Essential
2758,Gold_Silver_Essential
2760,Gold_Silver_Traveller
2761,Gold_Silver_Essential
2764,Bronze_Essential
2772,Platinum_Essential
2777,Platinum_Essential
2780,Gold_Silver_Essential
2782,Bronze_Traveller
2784,Gold_Silver_Essential
2792,Bronze_Traveller
2795,Bronze_Traveller
2798,Gold_Silver_Essential
2802,Platinum_Free
2807,Gold_Silver_Essential
2820,Bronze_Traveller
2832,Gold_Silver_Essential
2833,Gold_Silver_Essential
2834,Gold_Silver_Essential
2837,Platinum_Essential
2842,Bronze_Essential
2848,Gold_Silver_Essential
2852,Platinum_Essential
2856,Gold_Silver_Essential
2861,Gold_Silver_Essential
2862,Gold_Silver_Essential
2865,Gold_Silver_Essential
2870,Bronze_Essential
2874,Platinum_Essential
2880,Bronze_Traveller
2882,Gold_Silver_Essential
2883,Platinum_Essential
2888,Platinum_Essential
2892,Platinum_Essential
2897,Platinum_Essential
2898,Bronze_Essential
2899,Bronze_Traveller
2901,Gold_Silver_Essential
2903,Bronze_Essential
2905,Gold_Silver_Essential
2906,Platinum_Essential
2916,Gold_Silver_Essential
2917,Gold_Silver_Essential
2920,Gold_Silver_Essential
2921,Gold_Silver_Essential
2922,Gold_Silver_Traveller
2923,Gold_Silver_Essential
2925,Gold_Silver_Essential
2928,Gold_Silver_Essential
2937,Gold_Silver_Essential
2977,Platinum_Essential
2981,Bronze_Essential
2982,Platinum_Essential
2986,Platinum_Essential
2988,Gold_Silver_Free
2989,Bronze_Essential
2994,Gold_Silver_Essential
3003,Platinum_Essential
3004,Gold_Silver_Essential
3008,Platinum_Essential
3023,Gold_Silver_Essential
3027,Bronze_Traveller
3028,Gold_Silver_Essential
3038,Platinum_Essential
3046,Bronze_Traveller
3050,Bronze_Traveller
3054,Bronze_Traveller
3064,Bronze_Traveller
3065,Bronze_Essential
3066,Gold_Silver_Essential
3070,Gold_Silver_Free
3076,Gold_Silver_Essential
3087,Bronze_Essential
3092,Platinum_Essential
3096,Gold_Silver_Essential
3116,Platinum_Free
3117,Gold_Silver_Essential
3122,Platinum_Essential
3126,Gold_Silver_Essential
3127,Gold_Silver_Essential
3128,Platinum_Essential
3139,Platinum_Essential
3144,Gold_Silver_Essential
3145,Bronze_Essential
3148,Gold_Silver_Traveller
3149,Bronze_Essential
3152,Gold_Silver_Essential
3155,Bronze_Traveller
3158,Platinum_Essential
3165,Platinum_Essential
3167,Gold_Silver_Essential
3168,Bronze_Traveller
3170,Gold_Silver_Essential
3172,Gold_Silver_Essential
3176,Platinum_Essential
3177,Gold_Silver_Essential
3181,Bronze_Traveller
3182,Platinum_Essential
3193,Gold_Silver_Traveller
3196,Gold_Silver_Essential
3200,Gold_Silver_Essential
3202,Platinum_Essential
3203,Gold_Silver_Essential
3210,Platinum_Essential
3213,Gold_Silver_Essential
3214,Platinum_Essential
3218,Bronze_Traveller
3230,Gold_Silver_Essential
3243,Gold_Silver_Essential
3269,Bronze_Essential
3278,Gold_Silver_Essential
3289,Bronze_Essential
3293,Platinum_Essential
3311,Gold_Silver_Essential
3315,Bronze_Essential
3325,Bronze_Traveller
3331,Gold_Silver_Essential
3351,Gold_Silver_Essential
3353,Gold_Silver_Essential
3355,Bronze_Essential
3363,Bronze_Traveller
3386,Gold_Silver_Essential
3391,Gold_Silver_Essential
3394,Gold_Silver_Essential
3395,Bronze_Traveller
3398,Gold_Silver_Essential
3420,Gold_Silver_Traveller
3424,Bronze_Essential
3431,Gold_Silver_Essential
3433,Gold_Silver_Essential
3446,Platinum_Essential
3447,Gold_Silver_Essential
3451,Gold_Silver_Essential
3452,Platinum_Essential
3455,Platinum_Essential
3457,Bronze_Traveller
3458,Gold_Silver_Essential
3463,Gold_Silver_Essential
3468,Gold_Silver_Essential
3472,Gold_Silver_Traveller
3497,Gold_Silver_Essential
3513,Gold_Silver_Essential
3529,Gold_Silver_Essential
3530,Bronze_Essential
3541,Gold_Silver_Traveller
3545,Bronze_Traveller
3552,Gold_Silver_Essential
3555,Gold_Silver_Essential
3566,Gold_Silver_Free
3568,Gold_Silver_Essential
3570,Platinum_Essential
3571,Platinum_Free
3579,Gold_Silver_Essential
3583,Platinum_Essential
3586,Gold_Silver_Essential
3587,Gold_Silver_Essential
3594,Platinum_Free
3597,Platinum_Free
3605,Platinum_Free
3606,Platinum_Free
3613,Platinum_Free
3617,Gold_Silver_Traveller
3622,Platinum_Free
3633,Bronze_Traveller
3636,Platinum_Free
3641,Gold_Silver_Essential
3644,Platinum_Free
3647,Platinum_Free
3660,Platinum_Free
3663,Platinum_Free
3671,Bronze_Traveller
3676,Platinum_Free
3679,Gold_Silver_Traveller
3685,Gold_Silver_Free
3686,Platinum_Free
3690,Gold_Silver_Free
3693,Gold_Silver_Traveller
3695,Gold_Silver_Essential
3701,Gold_Silver_Free
3702,Gold_Silver_Essential
3711,Platinum_Essential
3715,Platinum_Free
3727,Platinum_Free
3728,Gold_Silver_Free
3730,Bronze_Essential
3733,Gold_Silver_Free
3740,Gold_Silver_Traveller
3741,Bronze_Traveller
3745,Gold_Silver_Essential
3756,Platinum_Essential
3759,Bronze_Traveller
3760,Bronze_Traveller
3763,Platinum_Free
3780,Gold_Silver_Free
3781,Gold_Silver_Traveller
3789,Gold_Silver_Essential
3798,Platinum_Essential
3817,Platinum_Free
3818,Bronze_Traveller
3819,Gold_Silver_Traveller
3820,Gold_Silver_Free
3830,Platinum_Free
3838,Gold_Silver_Traveller
3839,Platinum_Free
3843,Gold_Silver_Free
3844,Gold_Silver_Essential
3845,Gold_Silver_Traveller
3848,Platinum_Free
3855,Gold_Silver_Traveller
3865,Platinum_Essential
3870,Bronze_Traveller
3877,Bronze_Traveller
3881,Gold_Silver_Traveller
3887,Platinum_Free
3892,Platinum_Free
3893,Platinum_Free
3902,Gold_Silver_Free
3940,Bronze_Traveller
3945,Platinum_Free
3947,Platinum_Free
3949,Platinum_Free
3953,Gold_Silver_Traveller
3961,Platinum_Essential
3967,Bronze_Traveller
3968,Bronze_Traveller
3973,Bronze_Traveller
3978,Platinum_Free
3990,Gold_Silver_Traveller
3997,Gold_Silver_Free
4005,Gold_Silver_Essential
4006,Bronze_Traveller
4020,Gold_Silver_Essential
4024,Bronze_Traveller
4025,Gold_Silver_Free
4028,Gold_Silver_Free
4030,Platinum_Essential
4035,Gold_Silver_Free
4042,Gold_Silver_Traveller
4044,Platinum_Free
4045,Gold_Silver_Essential
4047,Platinum_Free
4051,Bronze_Essential
4053,Gold_Silver_Free
4063,Platinum_Free
4066,Bronze_Traveller
4069,Gold_Silver_Free
4070,Platinum_Free
4073,Platinum_Essential
4075,Gold_Silver_Traveller
4079,Platinum_Free
4082,Bronze_Traveller
4083,Platinum_Free
4084,Bronze_Traveller
4086,Gold_Silver_Essential
4098,Gold_Silver_Free
4109,Gold_Silver_Free
4118,Gold_Silver_Traveller
4134,Platinum_Free
4135,Gold_Silver_Essential
4140,Platinum_Free
4149,Gold_Silver_Traveller
4151,Platinum_Free
4158,Gold_Silver_Free
4163,Platinum_Free
4166,Gold_Silver_Free
4173,Bronze_Traveller
4176,Gold_Silver_Essential
4187,Gold_Silver_Free
4188,Gold_Silver_Traveller
4193,Platinum_Free
4207,Platinum_Free
4219,Platinum_Free
4231,Gold_Silver_Free
4232,Platinum_Free
4235,Bronze_Essential
4238,Platinum_Free
4242,Bronze_Traveller
4243,Gold_Silver_Essential
4245,Platinum_Free
4254,Gold_Silver_Traveller
4257,Gold_Silver_Traveller
4258,Gold_Silver_Free
4268,Bronze_Essential
4278,Gold_Silver_Essential
4279,Gold_Silver_Traveller
4280,Gold_Silver_Traveller
4285,Gold_Silver_Traveller
4290,Platinum_Essential
4294,Gold_Silver_Free
4300,Platinum_Essential
4305,Bronze_Traveller
4307,Platinum_Free
4323,Platinum_Essential
4338,Gold_Silver_Traveller
4339,Platinum_Essential
4348,Bronze_Essential
4351,Gold_Silver_Traveller
4354,Platinum_Free
4355,Gold_Silver_Essential
4361,Gold_Silver_Essential
4365,Platinum_Essential
4368,Platinum_Free
4376,Bronze_Traveller
4378,Gold_Silver_Essential
4383,Gold_Silver_Free
4384,Platinum_Free
4391,Gold_Silver_Free
4407,Gold_Silver_Free
4411,Gold_Silver_Free
4416,Platinum_Essential
4421,Platinum_Free
4423,Platinum_Free
4434,Platinum_Free
4437,Gold_Silver_Traveller
4440,Platinum_Free
4446,Bronze_Essential
4451,Gold_Silver_Traveller
4453,Platinum_Free
4454,Platinum_Free
4455,Platinum_Free
4459,Platinum_Free
4460,Bronze_Traveller
4481,Gold_Silver_Traveller
4484,Gold_Silver_Traveller
4496,Gold_Silver_Free
4497,Gold_Silver_Traveller
4499,Platinum_Essential
4500,Gold_Silver_Essential
4503,Gold_Silver_Free
4513,Platinum_Free
4517,Gold_Silver_Traveller
4518,Platinum_Free
4547,Gold_Silver_Traveller
4549,Gold_Silver_Free
4552,Platinum_Free
4559,Platinum_Free
4570,Gold_Silver_Free
4572,Gold_Silver_Free
4581,Platinum_Free
4586,Platinum_Free
4587,Gold_Silver_Free
4593,Gold_Silver_Free
4597,Gold_Silver_Traveller
4600,Platinum_Essential
4603,Platinum_Free
4608,Platinum_Free
